Wavelength_nm,ensemble_id,n_PVK,k_PVK,eps1,eps2
754.0,nominal,2.5473430204184457,0.1492766823654751,6.4666729357765265,0.7605178298698285
755.0,nominal,2.5500064369105573,0.1406667035300767,6.482745706803258,0.7174019989213692
756.0,nominal,2.552862041829351,0.1317482445393338,6.499747004673926,0.6726701851242325
757.0,nominal,2.555885417773504,0.1225914277168281,6.51752161063759,0.626659284890951
758.0,nominal,2.5590501447545435,0.1132703513392593,6.535907470875731,0.5797290179822591
759.0,nominal,2.562327896658313,0.1038624425912394,6.554736843012397,0.5322592681332106
760.0,nominal,2.5656885765483923,0.0944477047254931,6.573837502903002,0.4846467941908265
761.0,nominal,2.5691004908101256,0.0851078584284681,6.593033984314547,0.43730128172075217
762.0,nominal,2.572530562133948,0.0759253773913522,6.612148830181186,0.39064070756161484
763.0,nominal,2.5759445813366963,0.0669824180864993,6.631003841785174,0.34508599382949395
764.0,nominal,2.579307498019626,0.0583596437492626,6.649421321321722,0.30105493340845446
765.0,nominal,2.5825837500618665,0.0501349425652372,6.667225313617593,0.25895537595853313
766.0,nominal,2.585737631948046,0.0423820400629095,6.684242863952393,0.21917767181878964
767.0,nominal,2.588733701928868,0.0351690057117155,6.700305320539591,0.18208638069849353
768.0,nominal,2.5915372280134,0.0285566537255069,6.715249721707378,0.14801126247427734
769.0,nominal,2.5941146727918727,0.0225968380714253,6.728920318503259,0.11723757839957274
770.0,nominal,2.596434217087799,0.0173306416841846,6.741170292523147,0.08999574214581003
771.0,nominal,2.598466322438232,0.0127864598857613,6.751863735289258,0.06645037079271628
772.0,nominal,2.6001843324009957,0.0089779780104933,6.760877958374454,0.04668879551905068
773.0,nominal,2.6015651126877506,0.0059020432355862,6.768106201439673,0.030709099550551577
774.0,nominal,2.602589730121745,0.0035364306170281,6.7734607969936675,0.01840775601033088
775.0,nominal,2.603244170419143,0.0018375033309127,6.77687683440276,0.009566939668648487
776.0,nominal,2.603520094792819,0.0007377671201698,6.7783163396896855,0.0038415830452790053
777.0,nominal,2.6034156353775235,0.0001433189467045,6.777772949987834,0.0007462375733926666
778.0,nominal,2.602936229475339,0.0,6.775277014715294,0.0
779.0,nominal,2.602095492620376,0.0,6.770900952715277,0.0
780.0,nominal,2.600916130461625,0.0,6.7647647176954715,0.0
781.0,nominal,2.5995800554990733,0.0,6.757816464948565,0.0
782.0,nominal,2.598249102865853,0.0,6.750898400543211,0.0
783.0,nominal,2.59692324641097,0.0,6.744010347749692,0.0
784.0,nominal,2.595602460150104,0.0,6.7371521311372735,0.0
785.0,nominal,2.5942867182643337,0.0,6.730323576562726,0.0
786.0,nominal,2.5929759950988767,0.0,6.72352451115901,0.0
787.0,nominal,2.591670265161837,0.0,6.716754763324027,0.0
788.0,nominal,2.590369503122967,0.0,6.710014162709528,0.0
789.0,nominal,2.5890736838124395,0.0,6.703302540210116,0.0
790.0,nominal,2.5877827822196267,0.0,6.696619727952352,0.0
791.0,nominal,2.586496773491898,0.0,6.689965559283999,0.0
792.0,nominal,2.585215632933421,0.0,6.6833398687633485,0.0
793.0,nominal,2.5839393360039753,0.0,6.676742492148665,0.0
794.0,nominal,2.5826678583177807,0.0,6.670173266387752,0.0
795.0,nominal,2.5814011756423283,0.0,6.663632029607594,0.0
796.0,nominal,2.5801392638972285,0.0,6.657118621104132,0.0
797.0,nominal,2.5788820991530663,0.0,6.650632881332125,0.0
798.0,nominal,2.577629657630265,0.0,6.644174651895116,0.0
799.0,nominal,2.5763819156979646,0.0,6.6377437755355135,0.0
