Wavelength_nm,R_front,T_front,R_stack,R_total,ensemble_id,d_PVK_nm,Delta_R_stack_vs_700nm,Delta_R_total_vs_700nm
502.0,0.04193131469631514,0.9580686853036848,0.02688594782562678,0.06663766108636206,nominal,600.0,-5.249249810865275e-08,-4.8291456097859786e-08
503.0,0.04193131469631514,0.9580686853036848,0.027910782268829943,0.06758051727406833,nominal,600.0,-6.008911002455819e-08,-5.528485814976225e-08
504.0,0.04193131469631514,0.9580686853036848,0.02900998948795902,0.06859188721064632,nominal,600.0,-6.679854535132645e-08,-6.146353226377244e-08
505.0,0.04193131469631514,0.9580686853036848,0.03018150367843891,0.06966988885406598,nominal,600.0,-7.19654288106053e-08,-6.622426526603498e-08
506.0,0.04193131469631514,0.9580686853036848,0.03140178280666797,0.07079287568549818,nominal,600.0,-7.502132008674334e-08,-6.904344204694546e-08
507.0,0.04193131469631514,0.9580686853036848,0.03263095578127339,0.07192416360140165,nominal,600.0,-7.714195001534696e-08,-7.100242363500264e-08
508.0,0.04193131469631514,0.9580686853036848,0.033828236235207435,0.07302621102908434,nominal,600.0,-8.08525305318053e-08,-7.442517160893836e-08
509.0,0.04193131469631514,0.9580686853036848,0.03498119840586159,0.07408757003822887,nominal,600.0,-8.907655102419199e-08,-8.200336495955973e-08
510.0,0.04193131469631514,0.9580686853036848,0.03609383640813885,0.07511190609500085,nominal,600.0,-1.0528958677147315e-07,-9.693805153032642e-08
511.0,0.04193131469631514,0.9580686853036848,0.03720869501873298,0.07613838254228636,nominal,600.0,-1.2710687432443413e-07,-1.1703575772403774e-07
512.0,0.04193131469631514,0.9580686853036848,0.03837967376833189,0.07721663362165732,nominal,600.0,-1.4485784242956878e-07,-1.333933750125027e-07
513.0,0.04193131469631514,0.9580686853036848,0.03958358694809414,0.07832532169204862,nominal,600.0,-1.577388362428156e-07,-1.4526962005545485e-07
514.0,0.04193131469631514,0.9580686853036848,0.04074955915083105,0.07939917666086782,nominal,600.0,-1.787012151796552e-07,-1.6459104855426343e-07
515.0,0.04193131469631514,0.9580686853036848,0.04186545297911677,0.08042700818814298,nominal,600.0,-2.1426475657615462e-07,-1.9736501016831554e-07
516.0,0.04193131469631514,0.9580686853036848,0.04297138941315974,0.08144576319669167,nominal,600.0,-2.5569514659068426e-07,-2.3554953762494613e-07
517.0,0.04193131469631514,0.9580686853036848,0.04408435753247358,0.08247109114576051,nominal,600.0,-2.9590211128582844e-07,-2.7261418239499235e-07
518.0,0.04193131469631514,0.9580686853036848,0.045193889562126915,0.08349334901707448,nominal,600.0,-3.4300344166349195e-07,-3.160380303707244e-07
519.0,0.04193131469631514,0.9580686853036848,0.046300785402857154,0.08451327302318132,nominal,600.0,-4.052744517410445e-07,-3.734483015882528e-07
520.0,0.04193131469631514,0.9580686853036848,0.04742329492075887,0.08554768077912112,nominal,600.0,-4.729712317699808e-07,-4.358699736695115e-07
521.0,0.04193131469631514,0.9580686853036848,0.048550601124072994,0.08658660694636028,nominal,600.0,-5.373119812274174e-07,-4.95210555173653e-07
522.0,0.04193131469631514,0.9580686853036848,0.04960516536917692,0.08755858317722942,nominal,600.0,-6.28586507407658e-07,-5.79384552640283e-07
523.0,0.04193131469631514,0.9580686853036848,0.0505384972248391,0.0884188931695217,nominal,600.0,-7.855585209964877e-07,-7.241265456148227e-07
524.0,0.04193131469631514,0.9580686853036848,0.05142632528285773,0.08923732211123737,nominal,600.0,-9.895758721623071e-07,-9.122574760184188e-07
525.0,0.04193131469631514,0.9580686853036848,0.05235841588306285,0.09009661942561178,nominal,600.0,-1.1889363668027286e-06,-1.0961272386839083e-06
526.0,0.04193131469631514,0.9580686853036848,0.05337332014997408,0.0910323394823024,nominal,600.0,-1.3652034005218194e-06,-1.2587421332616033e-06
527.0,0.04193131469631514,0.9580686853036848,0.05447577435399697,0.09204886916079329,nominal,600.0,-1.5381564299130068e-06,-1.4183393761552088e-06
528.0,0.04193131469631514,0.9580686853036848,0.05553293175295904,0.09302372091223943,nominal,600.0,-1.7764377351833782e-06,-1.6382049761454187e-06
529.0,0.04193131469631514,0.9580686853036848,0.0563795019222993,0.093804443298417,nominal,600.0,-2.1648487123354654e-06,-1.996534021692087e-06
530.0,0.04193131469631514,0.9580686853036848,0.057104539290044366,0.09447313009662119,nominal,600.0,-2.6622581585228344e-06,-2.4554201122212183e-06
531.0,0.04193131469631514,0.9580686853036848,0.057928292033204015,0.09523290947980745,nominal,600.0,-3.1499794993020136e-06,-2.9054503135617082e-06
532.0,0.04193131469631514,0.9580686853036848,0.05887966346018754,0.09611046204389105,nominal,600.0,-3.623037243008498e-06,-3.3420524981064847e-06
533.0,0.04193131469631514,0.9580686853036848,0.059843099964289714,0.09699921506308096,nominal,600.0,-4.199508525641604e-06,-3.874129413494742e-06
534.0,0.04193131469631514,0.9580686853036848,0.060757942496246706,0.09784320764456114,nominal,600.0,-4.959137651125434e-06,-4.5752542997268275e-06
535.0,0.04193131469631514,0.9580686853036848,0.06162200757803001,0.0986404148486833,nominal,600.0,-5.808625656467115e-06,-5.3593735684503985e-06
536.0,0.04193131469631514,0.9580686853036848,0.06242490325673746,0.09938123760607931,nominal,600.0,-6.625587594538684e-06,-6.1135627582864505e-06
537.0,0.04193131469631514,0.9580686853036848,0.06314429157351942,0.10004505154749457,nominal,600.0,-7.5075827022097474e-06,-6.92781666158937e-06
538.0,0.04193131469631514,0.9580686853036848,0.06379672812834244,0.10064712062542763,nominal,600.0,-8.605560261540357e-06,-7.941439962994012e-06
539.0,0.04193131469631514,0.9580686853036848,0.06447286071486416,0.10127109127696074,nominal,600.0,-9.907430829791952e-06,-9.143361093047475e-06
540.0,0.04193131469631514,0.9580686853036848,0.0652199436733196,0.10196057991418603,nominal,600.0,-1.1367614326421305e-05,-1.0491593699077373e-05
541.0,0.04193131469631514,0.9580686853036848,0.06594972471077605,0.10263414229944572,nominal,600.0,-1.282900909432838e-05,-1.1841096633005699e-05
542.0,0.04193131469631514,0.9580686853036848,0.06658454658501425,0.1032200943165978,nominal,600.0,-1.398164252763845e-05,-1.2905659806661252e-05
543.0,0.04193131469631514,0.9580686853036848,0.06716549345325962,0.10375634614670388,nominal,600.0,-1.4992820982870358e-05,-1.3839697919987293e-05
544.0,0.04193131469631514,0.9580686853036848,0.06774780908420927,0.10429388772715605,nominal,600.0,-1.6521749714296097e-05,-1.5251782061367902e-05
