Wavelength_nm,R_front,T_front,R_stack,R_total,d_PVK_bulk_nm,d_C60_bulk_nm,ensemble_id,d_BEMA_rear_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
548.0,0.04193131469631514,0.9580686853036848,0.07000420438890427,0.1063770382250651,700.0,15.0,nominal,0.0,0.0,0.0
549.0,0.04193131469631514,0.9580686853036848,0.0705294788007005,0.10686203908383567,700.0,15.0,nominal,0.0,0.0,0.0
550.0,0.04193131469631514,0.9580686853036848,0.07104135599495708,0.10733469052493293,700.0,15.0,nominal,0.0,0.0,0.0
551.0,0.04193131469631514,0.9580686853036848,0.07154043205906448,0.10779554139527417,700.0,15.0,nominal,0.0,0.0,0.0
552.0,0.04193131469631514,0.9580686853036848,0.07202852382831128,0.10824626799176261,700.0,15.0,nominal,0.0,0.0,0.0
553.0,0.04193131469631514,0.9580686853036848,0.07250518069279963,0.10868645292685672,700.0,15.0,nominal,0.0,0.0,0.0
554.0,0.04193131469631514,0.9580686853036848,0.07296637914884026,0.10911237907129782,700.0,15.0,nominal,0.0,0.0,0.0
555.0,0.04193131469631514,0.9580686853036848,0.07341340893638339,0.10952523593337238,700.0,15.0,nominal,0.0,0.0,0.0
556.0,0.04193131469631514,0.9580686853036848,0.07385836772268167,0.10993619552864448,700.0,15.0,nominal,0.0,0.0,0.0
557.0,0.04193131469631514,0.9580686853036848,0.07429653802321341,0.11034090037747714,700.0,15.0,nominal,0.0,0.0,0.0
558.0,0.04193131469631514,0.9580686853036848,0.07468516500436084,0.1106998582832547,700.0,15.0,nominal,0.0,0.0,0.0
559.0,0.04193131469631514,0.9580686853036848,0.07499657852245521,0.11098750592825891,700.0,15.0,nominal,0.0,0.0,0.0
560.0,0.04193131469631514,0.9580686853036848,0.07525797180085653,0.1112289565019629,700.0,15.0,nominal,0.0,0.0,0.0
561.0,0.04193131469631514,0.9580686853036848,0.07550562151677022,0.11145771696100298,700.0,15.0,nominal,0.0,0.0,0.0
562.0,0.04193131469631514,0.9580686853036848,0.07577835966450538,0.11170965776943177,700.0,15.0,nominal,0.0,0.0,0.0
563.0,0.04193131469631514,0.9580686853036848,0.07610486731216227,0.11201127554818689,700.0,15.0,nominal,0.0,0.0,0.0
564.0,0.04193131469631514,0.9580686853036848,0.07645275607968517,0.11233265366854346,700.0,15.0,nominal,0.0,0.0,0.0
565.0,0.04193131469631514,0.9580686853036848,0.07677959123607672,0.11263459112489173,700.0,15.0,nominal,0.0,0.0,0.0
566.0,0.04193131469631514,0.9580686853036848,0.07710406726259571,0.11293435737858026,700.0,15.0,nominal,0.0,0.0,0.0
567.0,0.04193131469631514,0.9580686853036848,0.07745741959933382,0.11326081023777507,700.0,15.0,nominal,0.0,0.0,0.0
568.0,0.04193131469631514,0.9580686853036848,0.07776621600316105,0.11354610699828782,700.0,15.0,nominal,0.0,0.0,0.0
569.0,0.04193131469631514,0.9580686853036848,0.07790553927884442,0.11367483009238938,700.0,15.0,nominal,0.0,0.0,0.0
570.0,0.04193131469631514,0.9580686853036848,0.07792612469812318,0.11369384943194845,700.0,15.0,nominal,0.0,0.0,0.0
571.0,0.04193131469631514,0.9580686853036848,0.07803336127426089,0.11379292828939357,700.0,15.0,nominal,0.0,0.0,0.0
572.0,0.04193131469631514,0.9580686853036848,0.07829675403250108,0.11403628798427594,700.0,15.0,nominal,0.0,0.0,0.0
573.0,0.04193131469631514,0.9580686853036848,0.07860631857785443,0.1143223146378461,700.0,15.0,nominal,0.0,0.0,0.0
574.0,0.04193131469631514,0.9580686853036848,0.07886722381450736,0.1145633876026708,700.0,15.0,nominal,0.0,0.0,0.0
