NKChart,,,,,
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
667.4408538,2.085480062,667.4408538,0.03914582,,
666.6606743,2.085910941,666.6606743,0.03930421,,
665.8804948,2.086344043,665.8804948,0.039463876,,
665.1003154,2.086779382,665.1003154,0.039624833,,
664.3201359,2.087216975,664.3201359,0.039787096,,
663.5399564,2.087656839,663.5399564,0.03995068,,
662.759777,2.088098988,662.759777,0.0401156,,
661.9795975,2.088543441,661.9795975,0.040281873,,
661.199418,2.088990213,661.199418,0.040449514,,
660.4192386,2.089439322,660.4192386,0.040618539,,
659.6390591,2.089890784,659.6390591,0.040788965,,
658.8588796,2.090344616,658.8588796,0.040960808,,
658.0787002,2.090800836,658.0787002,0.041134085,,
657.2985207,2.091259461,657.2985207,0.041308814,,
656.5183412,2.091720509,656.5183412,0.041485011,,
655.7381617,2.092183996,655.7381617,0.041662694,,
654.9579823,2.092649942,654.9579823,0.041841882,,
654.1778028,2.093118364,654.1778028,0.042022592,,
653.3976233,2.09358928,653.3976233,0.042204843,,
652.6174439,2.094062708,652.6174439,0.042388654,,
651.8372644,2.094538668,651.8372644,0.042574044,,
651.0570849,2.095017177,651.0570849,0.042761032,,
650.2769055,2.095498254,650.2769055,0.042949637,,
649.496726,2.095981919,649.496726,0.043139881,,
648.7165465,2.09646819,648.7165465,0.043331782,,
647.9363671,2.096957087,647.9363671,0.043525363,,
647.1561876,2.097448628,647.1561876,0.043720643,,
646.3760081,2.097942835,646.3760081,0.043917643,,
645.5958287,2.098439726,645.5958287,0.044116387,,
644.8156492,2.098939322,644.8156492,0.044316894,,
644.0354697,2.099441642,644.0354697,0.044519189,,
643.2552903,2.099946707,643.2552903,0.044723293,,
642.4751108,2.100454537,642.4751108,0.044929229,,
641.6949313,2.100965153,641.6949313,0.045137022,,
640.9147518,2.101478576,640.9147518,0.045346693,,
640.1345724,2.101994826,640.1345724,0.045558269,,
639.3543929,2.102513926,639.3543929,0.045771773,,
638.5742134,2.103035896,638.5742134,0.04598723,,
637.794034,2.103560757,637.794034,0.046204666,,
637.0138545,2.104088532,637.0138545,0.046424106,,
636.233675,2.104619242,636.233675,0.046645577,,
635.4534956,2.105152909,635.4534956,0.046869105,,
634.6733161,2.105689556,634.6733161,0.047094718,,
633.8931366,2.106229205,633.8931366,0.047322443,,
633.1129572,2.106771879,633.1129572,0.047552307,,
632.3327777,2.1073176,632.3327777,0.04778434,,
631.5525982,2.107866391,631.5525982,0.04801857,,
630.7724188,2.108418275,630.7724188,0.048255027,,
629.9922393,2.108973277,629.9922393,0.04849374,,
629.2120598,2.109531419,629.2120598,0.048734741,,
628.4318804,2.110092725,628.4318804,0.048978059,,
627.6517009,2.110657219,627.6517009,0.049223727,,
626.8715214,2.111224925,626.8715214,0.049471777,,
626.0913419,2.111795867,626.0913419,0.049722241,,
625.3111625,2.112370071,625.3111625,0.049975152,,
624.530983,2.112947559,624.530983,0.050230544,,
623.7508035,2.113528358,623.7508035,0.050488452,,
622.9706241,2.114112493,622.9706241,0.050748909,,
622.1904446,2.114699988,622.1904446,0.051011952,,
621.4102651,2.115290869,621.4102651,0.051277617,,
620.6300857,2.115885161,620.6300857,0.051545941,,
619.8499062,2.116482892,619.8499062,0.05181696,,
619.0697267,2.117084085,619.0697267,0.052090714,,
618.2895473,2.117688768,618.2895473,0.05236724,,
617.5093678,2.118296967,617.5093678,0.052646578,,
616.7291883,2.118908708,616.7291883,0.052928768,,
615.9490089,2.119524019,615.9490089,0.053213851,,
615.1688294,2.120142925,615.1688294,0.053501869,,
614.3886499,2.120765455,614.3886499,0.053792864,,
613.6084705,2.121391635,613.6084705,0.054086879,,
612.828291,2.122021493,612.828291,0.054383958,,
612.0481115,2.122655057,612.0481115,0.054684145,,
611.267932,2.123292354,611.267932,0.054987486,,
610.4877526,2.123933412,610.4877526,0.055294028,,
609.7075731,2.12457826,609.7075731,0.055603817,,
608.9273936,2.125226926,608.9273936,0.055916901,,
608.1472142,2.125879438,608.1472142,0.05623333,,
607.3670347,2.126535825,607.3670347,0.056553153,,
606.5868552,2.127196116,606.5868552,0.05687642,,
605.8066758,2.127860339,605.8066758,0.057203184,,
605.0264963,2.128528525,605.0264963,0.057533497,,
604.2463168,2.129200702,604.2463168,0.057867413,,
603.4661374,2.1298769,603.4661374,0.058204985,,
602.6859579,2.130557148,602.6859579,0.058546271,,
601.9057784,2.131241477,601.9057784,0.058891326,,
601.125599,2.131929916,601.125599,0.059240209,,
600.3454195,2.132622494,600.3454195,0.059592977,,
599.56524,2.133319243,599.56524,0.059949692,,
598.7850606,2.134020193,598.7850606,0.060310414,,
598.0048811,2.134725373,598.0048811,0.060675205,,
597.2247016,2.135434815,597.2247016,0.061044129,,
596.4445221,2.13614855,596.4445221,0.06141725,,
595.6643427,2.136866607,595.6643427,0.061794635,,
594.8841632,2.137589018,594.8841632,0.06217635,,
594.1039837,2.138315813,594.1039837,0.062562465,,
593.3238043,2.139047025,593.3238043,0.062953048,,
592.5436248,2.139782683,592.5436248,0.063348172,,
