Wavelength_nm,R_front,T_front,R_stack,R_total,d_BEMA_rear_nm,d_PVK_bulk_nm,d_C60_bulk_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
789.0,0.04193131469631514,0.9580686853036848,0.7258595693513873,0.7291097559040616,13.0,693.5,8.5,-0.0007603522282481068,-0.0007424541720973954
790.0,0.04193131469631514,0.9580686853036848,0.7259547469961133,0.7292026904729989,13.0,693.5,8.5,-0.0008542234812787264,-0.0008341260276367723
791.0,0.04193131469631514,0.9580686853036848,0.7256195171715274,0.7288753644932443,13.0,693.5,8.5,-0.0009507565833711817,-0.000928364936375492
792.0,0.04193131469631514,0.9580686853036848,0.7248360780714325,0.7281104338508736,13.0,693.5,8.5,-0.0010493091263938936,-0.0010245313682465396
793.0,0.04193131469631514,0.9580686853036848,0.7235896620315759,0.7268935707498669,13.0,693.5,8.5,-0.001149130584516711,-0.0011218795962226746
794.0,0.04193131469631514,0.9580686853036848,0.7218691496183757,0.7252140677500044,13.0,693.5,8.5,-0.0012493683919291287,-0.0012195641229495457
795.0,0.04193131469631514,0.9580686853036848,0.7196676466505821,0.7230654033009127,13.0,693.5,8.5,-0.001349078772031942,-0.0013166508513281494
796.0,0.04193131469631514,0.9580686853036848,0.7169830023789909,0.7204457469514748,13.0,693.5,8.5,-0.0014472427750871208,-0.0014121334216379289
797.0,0.04193131469631514,0.9580686853036848,0.7138182429338428,0.717358378519442,13.0,693.5,8.5,-0.0015427870581861125,-0.001504954223810473
798.0,0.04193131469631514,0.9580686853036848,0.7101818914885063,0.713811993100256,13.0,693.5,8.5,-0.0016346091526723283,-0.0015940297881620324
799.0,0.04193131469631514,0.9580686853036848,0.7060881513467063,0.7098208686897702,13.0,693.5,8.5,-0.0017216062934419796,-0.0016782795952235974
800.0,0.04193131469631514,0.9580686853036848,0.7015569324162316,0.705404877639745,13.0,693.5,8.5,-0.0018027066823625981,-0.001756657144699303
801.0,0.04193131469631514,0.9580686853036848,0.6966137115845509,0.7005893332728987,13.0,693.5,8.5,-0.0018769015678102852,-0.0018281816488781022
802.0,0.04193131469631514,0.9580686853036848,0.6912892228668931,0.69540466848849,13.0,693.5,8.5,-0.0019432768540523782,-0.0018919690483412133
803.0,0.04193131469631514,0.9580686853036848,0.6856189707844381,0.6898859410903132,13.0,693.5,8.5,-0.002001041524873126,-0.0019472596693869137
804.0,0.04193131469631514,0.9580686853036848,0.6796425924294577,0.6840721919025866,13.0,693.5,8.5,-0.0020495525991123253,-0.001993442237849141
805.0,0.04193131469631514,0.9580686853036848,0.673403097028806,0.6780056850205901,13.0,693.5,8.5,-0.002088333944986309,-0.002030071658192689
806.0,0.04193131469631514,0.9580686853036848,0.6669460079053119,0.6717310556566353,13.0,693.5,8.5,-0.002117088574099313,-0.0020568802230990224
807.0,0.04193131469631514,0.9580686853036848,0.6603184426022597,0.6652944014354547,13.0,693.5,8.5,-0.0021357039062722682,-0.0020737818121282503
808.0,0.04193131469631514,0.9580686853036848,0.6535681727825748,0.6587423583887186,13.0,693.5,8.5,-0.002144249469900106,-0.0020808686281594824
809.0,0.04193131469631514,0.9580686853036848,0.6467427020193035,0.6521211991471736,13.0,693.5,8.5,-0.0021429675179265306,-0.0020784010147655296
810.0,0.04193131469631514,0.9580686853036848,0.6398883931442606,0.6454759841991546,13.0,693.5,8.5,-0.002132258097541584,-0.002066791922351263
811.0,0.04193131469631514,0.9580686853036848,0.6330496799506595,0.6388497997617371,13.0,693.5,8.5,-0.0021126585067458015,-0.002046586026636321
