Wavelength_nm,R_glass_1mm_pvk_700nm,T_glass_1mm_pvk_700nm,A_glass_1mm_pvk_700nm,R_pvk_700nm_glass_1mm,T_pvk_700nm_glass_1mm,A_pvk_700nm_glass_1mm
571.0,0.1324882393048858,0.00018503287644805474,0.867326727818666,0.23366635238708391,0.00018503287644805474,0.766148614736468
572.0,0.13235010467874794,0.0001968128887121477,0.8674530824325399,0.23350195014904462,0.00019681288871214767,0.7663012369622433
573.0,0.1323111813519519,0.00020710721939212466,0.8674817114286559,0.2334756415890594,0.00020710721939212452,0.7663172511915485
574.0,0.13219464628011626,0.00022041490158376464,0.8675849388183,0.23334352652604878,0.00022041490158376464,0.7664360585723674
575.0,0.13192611801374174,0.00023917645641221286,0.867834705529846,0.2330014785363096,0.0002391764564122128,0.7667593450072782
576.0,0.13151380775880922,0.0002646793600166293,0.8682215128811742,0.23246118969840907,0.0002646793600166294,0.7672741309415744
577.0,0.1311502492548522,0.0002923415825399994,0.8685574091626078,0.231990847575501,0.00029234158253999936,0.767716810841959
578.0,0.13100502244067375,0.0003125376336579151,0.8686824399256683,0.23181757795140642,0.00031253763365791503,0.7678698844149356
579.0,0.1309125740970426,0.00032776652265531324,0.8687596593803021,0.23170606634757146,0.0003277665226553134,0.7679661671297733
580.0,0.13061972555905227,0.0003530933062996389,0.8690271811346482,0.23131769040852687,0.0003530933062996389,0.7683292162851735
581.0,0.13021645018413167,0.00039128075266322036,0.8693922690632051,0.230787507124947,0.00039128075266322036,0.7688212121223897
582.0,0.12996739822389758,0.0004255013242745881,0.8696071004518279,0.2304714284169216,0.0004255013242745879,0.7691030702588039
583.0,0.12989552671695176,0.0004474166986610164,0.8696570565843873,0.23039248039124535,0.00044741669866101615,0.7691601029100936
584.0,0.12982379075697945,0.0004721261730557466,0.8697040830699648,0.23031664642837552,0.0004721261730557462,0.7692112273985688
585.0,0.12964922369374995,0.0005096684057634403,0.8698411079004866,0.23010519700013018,0.0005096684057634401,0.7693851345941064
586.0,0.1294127117166949,0.0005475074525692101,0.8700397808307359,0.22979728556965898,0.0005475074525692101,0.7696552069777718
587.0,0.12917039895798726,0.0005749640206723477,0.8702546370213403,0.2294638648736787,0.0005749640206723481,0.769961171105649
588.0,0.12888346508403387,0.0006083317309623866,0.8705082031850038,0.22907054536141058,0.0006083317309623866,0.770321122907627
589.0,0.12852824313097086,0.0006659672111112123,0.8708057896579179,0.22860151025442085,0.0006659672111112129,0.7707325225344679
590.0,0.12822744302792413,0.0007337031832000444,0.8710388537888758,0.22821803603729834,0.0007337031832000447,0.7710482607795016
591.0,0.12808162536112455,0.0007848816505397428,0.8711334929883358,0.2280442148552779,0.0007848816505397426,0.7711709034941824
592.0,0.128028354594209,0.0008203271079484239,0.8711513182978425,0.22799226671620476,0.0008203271079484238,0.7711874061758468
593.0,0.12796520432169403,0.0008558704742293106,0.8711789252040767,0.22792535416614773,0.0008558704742293102,0.771218775359623
594.0,0.12781689318875342,0.000902207476360162,0.8712808993348864,0.2277406294166518,0.000902207476360162,0.7713571631069881
