interface_type,d_air_nm,wavelength_nm,reflectance,delta_r
front,0.0,734,0.126574089572468,0.0
front,0.0,735,0.12513194445021844,0.0
front,0.0,736,0.12230252591541436,0.0
front,0.0,737,0.11873220749546493,0.0
front,0.0,738,0.11616944588430134,0.0
front,0.0,739,0.1149956532251369,0.0
front,0.0,740,0.11406198347558709,0.0
front,0.0,741,0.11254618986579615,0.0
front,0.0,742,0.11061743415322235,0.0
front,0.0,743,0.10861571808917968,0.0
front,0.0,744,0.10640593238893495,0.0
front,0.0,745,0.13430619443166525,0.0
front,0.0,746,0.1813549182074316,0.0
front,0.0,747,0.25988487291891815,0.0
front,0.0,748,0.38966207294986266,0.0
front,0.0,749,0.5499400714641505,0.0
front,0.0,750,0.7175504255628375,0.0
front,0.0,751,0.8584995003642558,0.0
front,0.0,752,0.938138468411623,0.0
front,0.0,753,0.9339018738964031,0.0
front,0.0,754,0.9294536092044259,0.0
front,0.0,755,0.9247911569364565,0.0
front,0.0,756,0.9199171631919948,0.0
front,0.0,757,0.9148344012856183,0.0
front,0.0,758,0.9095458007871071,0.0
front,0.0,759,0.9040544772900021,0.0
front,0.0,760,0.8983637650537363,0.0
front,0.0,761,0.8924772441392766,0.0
front,0.0,762,0.8863987630300483,0.0
front,0.0,763,0.8801324875140429,0.0
front,0.0,764,0.8736829381319832,0.0
front,0.0,765,0.8670550279318785,0.0
front,0.0,766,0.8602540994920815,0.0
front,0.0,767,0.8532859610493593,0.0
front,0.0,768,0.8461569250729075,0.0
front,0.0,769,0.8388738458389995,0.0
front,0.0,770,0.8314441556623037,0.0
front,0.0,771,0.823875905908168,0.0
front,0.0,772,0.8161778100114624,0.0
front,0.0,773,0.8083592681909973,0.0
front,0.0,774,0.8004303971598316,0.0
front,0.0,775,0.7924020598292154,0.0
front,0.0,776,0.784285890128583,0.0
front,0.0,777,0.7760943179042021,0.0
front,0.0,778,0.7678405849902078,0.0
front,0.0,779,0.7595387594665772,0.0
front,0.0,780,0.7512037414145851,0.0
front,0.0,781,0.7428512663895322,0.0
front,0.0,782,0.7344979036494622,0.0
front,0.0,783,0.7261610350485032,0.0
front,0.0,784,0.7178588284563936,0.0
front,0.0,785,0.7096102044663757,0.0
front,0.0,786,0.7014347921558722,0.0
front,0.0,787,0.6933528742384293,0.0
front,0.0,788,0.6853853216123722,0.0
front,0.0,789,0.6775535150511436,0.0
front,0.0,790,0.6698792576839258,0.0
front,0.0,791,0.6623846697687384,0.0
front,0.0,792,0.6550920676206875,0.0
front,0.0,793,0.6480238491086882,0.0
front,0.0,794,0.6412023649633192,0.0
front,0.0,795,0.6346497780463427,0.0
front,0.0,796,0.6283879139657793,0.0
front,0.0,797,0.6224381065627845,0.0
front,0.0,798,0.6168210388719926,0.0
front,0.0,799,0.61155658196772,0.0
front,0.0,800,0.6066636334228901,0.0
front,0.0,801,0.6021599604114467,0.0
front,0.0,802,0.5980620497421812,0.0
front,0.0,803,0.594384957784352,0.0
front,0.0,804,0.5911421687488866,0.0
front,0.0,805,0.5883454698641831,0.0
front,0.0,806,0.5860048398252082,0.0
front,0.0,807,0.5841283518709954,0.0
front,0.0,808,0.5827220962543181,0.0
front,0.0,809,0.5817901230524746,0.0
front,0.0,810,0.5813344020479242,0.0
front,0.0,811,0.5813548049202647,0.0
front,0.0,812,0.5818490977631288,0.0
front,0.0,813,0.5828129791853168,0.0
front,0.0,814,0.5842401301414526,0.0
front,0.0,815,0.5861222819596096,0.0
front,0.0,816,0.5884493032849026,0.0
front,0.0,817,0.591209302936386,0.0
front,0.0,818,0.5943887499970809,0.0
front,0.0,819,0.5979726055397527,0.0
front,0.0,820,0.6019444660147262,0.0
front,0.0,821,0.6062867130368034,0.0
front,0.0,822,0.6109806642234921,0.0
front,0.0,823,0.6160067416441527,0.0
front,0.0,824,0.6213446375623954,0.0
front,0.0,825,0.6269734752319467,0.0
front,0.0,826,0.6328719687945495,0.0
front,0.0,827,0.6390185761683083,0.0
front,0.0,828,0.6453916461884697,0.0
front,0.0,829,0.6519695586977667,0.0
