Photon_Energy_eV,Wavelength_nm,Epsilon1,Epsilon2,n,k
2.398194,516.9898615374735,6.117329,4.6887,2.629147509301077,0.8916768616848025
2.39082,518.58441204273,6.154383,4.651883,2.6333508353150505,0.8832630535998169
2.383491,520.1790080180709,6.192696,4.616863,2.63789710688946,0.8751029348229746
2.376207,521.7735592900787,6.234482,4.581528,2.643042987448193,0.8667146205638101
2.368967,523.3681955046228,6.276721,4.548437,2.648415100932558,0.8587092330047522
2.361772,524.9626060432589,6.297356,4.516861,2.6501992854145593,0.8521738393143984
2.35462,526.5571446772727,6.34152,4.484088,2.655959225198787,0.8441560317373444
2.347511,528.1517249546434,6.370344,4.453174,2.659216269923221,0.8373094829418622
2.340446,529.7460330210566,6.408904,4.420682,2.6640723150278247,0.8296850605487088
2.333423,531.3404316319844,6.432409,4.386736,2.666294354414822,0.8226278529106303
2.326442,532.9348352548656,6.455695,4.336245,2.667631978248391,0.8127517280039593
2.319503,534.5291573237887,6.490414,4.293079,2.671346818865763,0.8035420503397633
2.312605,536.1235420661981,6.529723,4.274915,2.677157877049382,0.7984054725811649
2.305749,537.7176717847432,6.545531,4.229984,2.6775837058750325,0.7898882844855164
2.298933,539.3119260108929,6.564143,4.197341,2.6791347228864804,0.7833389198654808
2.292157,540.9062223922706,6.578453,4.160844,2.679769133282901,0.7763437432579651
2.285422,542.5002402182179,6.612973,4.12589,2.6839786342636796,0.7686145387539368
2.278726,544.0943685199537,6.624156,4.082109,2.6837564982570146,0.7605214934088014
2.272069,545.6885261847241,6.642955,4.0463,2.6852578326010814,0.7534285815825257
2.265451,547.2826311405543,6.671628,4.022278,2.6890485633540027,0.7478998436129177
2.258872,548.8766003562839,6.694671,3.992919,2.691623190905767,0.741730680113573
2.252331,550.470594242143,6.698896,3.948349,2.690241531783257,0.7338279766617818
2.245827,552.0647779192253,6.740249,3.93105,2.696578952640088,0.7288957729480351
2.239362,553.6585795418516,6.749152,3.89864,2.6966098421354006,0.7228780261576017
2.232934,555.252409609957,6.765622,3.866046,2.6979550461240316,0.716477097265591
2.226542,556.8464390072139,6.761836,3.82384,2.695365239227334,0.7093361493925325
2.220187,558.4403403857422,6.799192,3.804339,2.700957356058632,0.7042575091876822
2.213869,560.0340327273203,6.807108,3.775333,2.7010235817544275,0.6988707957795325
2.207587,561.6276885123892,6.809591,3.729551,2.699408800599622,0.6908088539926874
2.20134,563.2214850954418,6.852581,3.708272,2.7059368534621813,0.6852103727504497
2.195129,564.8150901382105,6.851702,3.671606,2.7041774257960403,0.6788766826050946
2.188952,566.408940899572,6.866813,3.642328,2.7055334344176742,0.6731256678748005
2.182811,568.0024445542925,6.882904,3.609003,2.7068986621340314,0.6666306076554003
2.176704,569.5960424568522,6.890633,3.581161,2.707055318309025,0.6614495418285334
2.170631,571.1896605180705,6.895963,3.535364,2.7060447892389763,0.6532345684112373
2.164593,572.7829591983342,6.918423,3.510353,2.7089168581810488,0.6479255702142681
2.158587,574.3766565813655,6.933095,3.486656,2.7104929896157883,0.6431774613248924
2.152616,575.9698822270204,6.942579,3.444952,2.7104312944834428,0.6354988608291845
2.146677,577.5633614186019,6.965693,3.412861,2.7131650006871793,0.6289446088121446
2.140771,579.1567542721757,6.961816,3.380944,2.7111966117809714,0.6235150902204534
2.134898,580.7499861820096,6.967906,3.346786,2.710893990220042,0.6172845585393661
2.129057,582.343255253382,6.989728,3.318882,2.713612083894265,0.611524767983256
2.123248,583.9364897553182,6.992068,3.288582,2.7128297527671803,0.6061165461351807
2.117471,585.5296171706719,6.997297,3.254302,2.7124097350669434,0.5998912992250566
2.111725,587.1228422261421,7.012024,3.222975,2.713787071143664,0.5938150111832003
2.106011,588.7158158243237,7.001927,3.179898,2.7103595882000655,0.5866192098355024
2.100327,590.3090252136928,7.004608,3.144355,2.709482987755903,0.5802499986545913
2.094674,591.902121284744,7.013931,3.118814,2.7101672095216234,0.5753914350824331
2.089052,593.495032196422,7.018241,3.088186,2.70978543800975,0.5698211298729565
2.08346,595.0879709713648,6.995053,3.04,2.70389849329149,0.5621512803720987
2.077898,596.6808688395677,7.01193,3.016541,2.7060295224319213,0.5573740003562525
2.072366,598.2736562943031,6.989662,2.974929,2.7005629713016046,0.5507979320634313
2.066863,599.8665533225956,6.992772,2.948442,2.700159490787884,0.5459755266418853
2.061389,601.4594935744781,6.986113,2.91852,2.6979013759525556,0.5408870809759586
2.055945,603.0521166665451,6.982106,2.890336,2.6961838495139148,0.5360049910025774
2.050529,604.6449399155047,6.976476,2.853844,2.693890421251907,0.5296882117932916
2.045143,606.2373066333258,6.961901,2.813072,2.689856736685012,0.522903685098642
2.039784,607.8300369058684,6.944338,2.80018,2.6862598264885116,0.5212042357906244
2.034454,609.4224710905235,6.930977,2.767423,2.682724744979267,0.5157858638272982
2.029151,611.0151408150501,6.923659,2.75718,2.681055265110396,0.5141967858477677
2.023876,612.6076814982736,6.907274,2.723278,2.676939310904418,0.5086551624287527
2.018629,614.200025859135,6.895346,2.713971,2.674469202813675,0.5073849788856732
2.013409,615.7924117752528,6.89135,2.696876,2.6731638363101182,0.5044352245395128
2.008216,617.3847753428913,6.858286,2.668592,2.6662203503387505,0.5004447587501439
2.00305,618.9770519957065,6.84725,2.655023,2.6637591615598177,0.49836018179010194
1.997911,620.5691765048592,6.823905,2.638121,2.6589479042264936,0.4960836193530927
1.992798,622.1613951840577,6.813781,2.634299,2.656977873291859,0.4957322050891298
