Wavelength_nm,R_front,T_front,R_stack,R_total,d_gap_rear_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
461.0,0.04193131469631514,0.9580686853036848,0.0038710448972282935,0.04548510664158618,0.0,0.0,0.0
462.0,0.04193131469631514,0.9580686853036848,0.0037994587184971935,0.045419376863444307,0.0,0.0,0.0
463.0,0.04193131469631514,0.9580686853036848,0.0037556345857602882,0.045379138138161655,0.0,0.0,0.0
464.0,0.04193131469631514,0.9580686853036848,0.0037558605634065967,0.04537934562739729,0.0,0.0,0.0
465.0,0.04193131469631514,0.9580686853036848,0.003790997513589397,0.04541160788814432,0.0,0.0,0.0
466.0,0.04193131469631514,0.9580686853036848,0.0038537346746510093,0.04546921251649601,0.0,0.0,0.0
467.0,0.04193131469631514,0.9580686853036848,0.003949074207594422,0.04555675289413641,0.0,0.0,0.0
468.0,0.04193131469631514,0.9580686853036848,0.0040761466652169,0.04567343140455828,0.0,0.0,0.0
469.0,0.04193131469631514,0.9580686853036848,0.004224521022295303,0.04580967099006836,0.0,0.0,0.0
470.0,0.04193131469631514,0.9580686853036848,0.004390466490338519,0.04596204664485087,0.0,0.0,0.0
471.0,0.04193131469631514,0.9580686853036848,0.004589435104994183,0.04614474784959812,0.0,0.0,0.0
472.0,0.04193131469631514,0.9580686853036848,0.0048373038581672285,0.04637235544777677,0.0,0.0,0.0
473.0,0.04193131469631514,0.9580686853036848,0.005121731878042006,0.046633539735370405,0.0,0.0,0.0
474.0,0.04193131469631514,0.9580686853036848,0.005417044969080354,0.04690472614929832,0.0,0.0,0.0
475.0,0.04193131469631514,0.9580686853036848,0.00573454345837489,0.04719629293838543,0.0,0.0,0.0
476.0,0.04193131469631514,0.9580686853036848,0.006116505525969273,0.047547068531102445,0.0,0.0,0.0
477.0,0.04193131469631514,0.9580686853036848,0.006567263820735328,0.047961037728217776,0.0,0.0,0.0
478.0,0.04193131469631514,0.9580686853036848,0.007044456744705032,0.04839930112262897,0.0,0.0,0.0
479.0,0.04193131469631514,0.9580686853036848,0.007523723277363718,0.048839486618931116,0.0,0.0,0.0
480.0,0.04193131469631514,0.9580686853036848,0.008015584907429079,0.04929125856710882,0.0,0.0,0.0
481.0,0.04193131469631514,0.9580686853036848,0.008535553696018973,0.04976886704136965,0.0,0.0,0.0
482.0,0.04193131469631514,0.9580686853036848,0.009097905873137883,0.05028542950636735,0.0,0.0,0.0
483.0,0.04193131469631514,0.9580686853036848,0.009710690796994555,0.05084834596267398,0.0,0.0,0.0
484.0,0.04193131469631514,0.9580686853036848,0.010371610982705809,0.05145551287085831,0.0,0.0,0.0
485.0,0.04193131469631514,0.9580686853036848,0.011072264304060154,0.05209921814611623,0.0,0.0,0.0
486.0,0.04193131469631514,0.9580686853036848,0.01178954308636424,0.05275823678941212,0.0,0.0,0.0
487.0,0.04193131469631514,0.9580686853036848,0.012507748162673343,0.053418146229092286,0.0,0.0,0.0
488.0,0.04193131469631514,0.9580686853036848,0.013262453694252215,0.05411163628831522,0.0,0.0,0.0
489.0,0.04193131469631514,0.9580686853036848,0.014092030998517297,0.054873975810708235,0.0,0.0,0.0
490.0,0.04193131469631514,0.9580686853036848,0.014960066666888512,0.05567171343876856,0.0,0.0,0.0
491.0,0.04193131469631514,0.9580686853036848,0.015809335568070956,0.05645226036950272,0.0,0.0,0.0
492.0,0.04193131469631514,0.9580686853036848,0.016657236394982053,0.057231605425694804,0.0,0.0,0.0
493.0,0.04193131469631514,0.9580686853036848,0.01755675818236289,0.05805845833086755,0.0,0.0,0.0
494.0,0.04193131469631514,0.9580686853036848,0.018511915550018205,0.05893652056707753,0.0,0.0,0.0
495.0,0.04193131469631514,0.9580686853036848,0.01949302411157738,0.05983851264416823,0.0,0.0,0.0
496.0,0.04193131469631514,0.9580686853036848,0.02048157287142159,0.06074742006805825,0.0,0.0,0.0
